host_ts_ms,packet_number,time_offset_us,n_channels,ch0_type,ch0_status,ch0_value,ch1_type,ch1_status,ch1_value,ch2_type,ch2_status,ch2_value,ch3_type,ch3_status,ch3_value,ch4_type,ch4_status,ch4_value,ch5_type,ch5_status,ch5_value,ch6_type,ch6_status,ch6_value,ch7_type,ch7_status,ch7_value
1770054008331,63,500,5,0,0,4.81958,0,0,-0.000495195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008331,0,501,5,0,0,4.90687,0,0,-0.000505686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008332,1,500,5,0,0,4.74165,0,0,-0.000482082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008332,2,500,5,0,0,4.81958,0,0,-0.000500679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008333,3,500,5,0,0,4.81646,0,0,-0.00049901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008333,4,500,5,0,0,4.81958,0,0,-0.000476599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008334,5,500,5,0,0,4.88193,0,0,-0.000496387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008334,6,500,5,0,0,4.78841,0,0,-0.000514984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008335,7,500,5,0,0,4.82582,0,0,-0.000484943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008335,8,500,5,0,0,4.80088,0,0,-0.000505686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008336,9,500,5,0,0,4.77906,0,0,-0.00050354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008336,10,500,5,0,0,4.86946,0,0,-0.00047636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008337,11,500,5,0,0,4.76347,0,0,-0.000508547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008337,12,500,5,0,0,4.79464,0,0,-0.000500917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008338,13,501,5,0,0,4.83205,0,0,-0.000491858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008338,14,500,5,0,0,4.94739,0,0,-0.000512123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008339,15,501,5,0,0,4.88816,0,0,-0.000503778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008339,16,500,5,0,0,4.82582,0,0,-0.000472069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008340,17,500,5,0,0,4.92557,0,0,-0.000503778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008340,18,500,5,0,0,4.8944,0,0,-0.000499249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
